Zip,LatLong,Population
11972,"40.818205, -72.701844",692
11545,"40.824966, -73.581551","12,073"
13492,"43.114604, -75.337680","11,555"
12553,"41.460880, -74.072198","22,514"
13901,"42.185729, -75.879685","20,106"
13413,"43.061560, -75.276199","15,871"
14026,"42.942011, -78.689442",722
10549,"41.203948, -73.718025","15,327"
12524,"41.532263, -73.889150","14,045"
14086,"42.905511, -78.629121","28,516"
14441,"42.685829, -76.957555",344
12456,"42.032997, -73.998278",653
11792,"40.946438, -72.835507","7,156"
10567,"41.289545, -73.897030","17,805"
13066,"43.032475, -76.000667","12,299"
11940,"40.809637, -72.759740","4,347"
12188,"42.819962, -73.694056","10,610"
10970,"41.197670, -74.074130","9,222"
10901,"41.161496, -74.139021","21,760"
10501,"41.288104, -73.759211",843
12150,"42.880521, -74.052686",836
12520,"41.428017, -73.996195","2,918"
10992,"41.421990, -74.163800","9,367"
13319,"43.025796, -75.278313","1,018"
14127,"42.753763, -78.745385","27,762"
13031,"43.041401, -76.307912","14,977"
14048,"42.479105, -79.312833","16,097"
13834,"42.543366, -74.958799",170
10940,"41.446544, -74.478741","42,860"
12482,"42.271396, -73.960047",452
12518,"41.401437, -74.037497","6,276"
12565,"42.248157, -73.645187","1,936"
11961,"40.893355, -72.877865","12,664"
14072,"43.017901, -78.962657","18,621"
11960,"40.806462, -72.702460",822
13502,"43.141264, -75.154707","33,505"
13790,"42.165361, -76.001942","19,713"
13057,"43.087662, -76.035448","14,845"
12302,"42.878182, -73.982505","27,001"
12077,"42.588163, -73.777695","5,719"
14586,"43.041661, -77.689956","6,197"
13062,"42.486498, -76.380690",131
12159,"42.651428, -73.885894","7,646"
14047,"42.687361, -78.986623","6,833"
12401,"41.938565, -74.056809","35,722"
14092,"43.174537, -78.992002","11,121"
10964,"41.017211, -73.913870","1,282"
12306,"42.805431, -74.044234","24,581"
12866,"43.092690, -73.735445","34,570"
13664,"44.584961, -75.648193",340
11719,"40.780748, -72.909617","2,965"
11947,"40.947855, -72.575934",218
14901,"42.087649, -76.746938","17,845"
11941,"40.828756, -72.718536","2,275"
11942,"40.850055, -72.587962","3,981"
10546,"41.203621, -73.796171","1,224"
12486,"41.834702, -74.062603","1,595"
12008,"42.848917, -73.912735",431
13850,"42.049395, -76.017594","26,685"
10974,"41.154310, -74.200465","3,183"
12538,"41.792345, -73.893141","12,653"
14721,"42.000558, -78.251649",102
12198,"42.672453, -73.632704","7,295"
11568,"40.786513, -73.598478","3,992"
14031,"42.983128, -78.614262","8,769"
10577,"41.041731, -73.709727","3,454"
11971,"41.059912, -72.427282","5,575"
10930,"41.361676, -74.113297","7,400"
13041,"43.192089, -76.192302","9,818"
14850,"42.431831, -76.500228","63,396"
13903,"42.041886, -75.889073","19,282"
10509,"41.422360, -73.580154","18,913"
14701,"42.081025, -79.253512","42,904"
10526,"41.294835, -73.662114","1,652"
10590,"41.255441, -73.539322","7,212"
11952,"41.001012, -72.543737","4,680"
10928,"41.348970, -73.998495","5,358"
10917,"41.322562, -74.120871","1,650"
12019,"42.945577, -73.834562","13,320"
12586,"41.565744, -74.179081","11,527"
14102,"42.835266, -78.563136","1,111"
14480,"42.839522, -77.708389",641
12804,"43.340954, -73.685911","24,083"
11968,"40.905917, -72.415656","12,032"
12533,"41.561643, -73.787605","22,254"
13027,"43.173534, -76.365491","29,108"
12061,"42.594948, -73.659578","7,872"
11901,"40.924693, -72.648656","22,897"
12472,"41.849570, -74.076786","1,654"
14425,"42.990428, -77.332531","9,658"
10536,"41.296920, -73.729864","10,612"
12513,"42.219307, -73.720481","1,043"
12901,"44.704021, -73.471148","32,253"
12979,"44.987143, -73.375296","2,450"
10504,"41.134968, -73.698635","7,185"
10980,"41.258097, -74.030157","12,670"
10921,"41.328266, -74.372269","3,879"
11963,"40.989760, -72.315663","6,664"
12771,"41.375285, -74.631515","13,847"
13215,"42.980793, -76.223386","14,461"
14094,"43.157693, -78.702073","51,376"
10527,"41.321183, -73.769878","1,097"
11977,"40.844797, -72.694993","2,143"
12027,"42.935415, -73.907816","3,659"
10512,"41.447747, -73.709884","23,924"
11569,"40.608435, -73.590373","1,559"
13341,"43.036698, -75.397188",54
14555,"43.257062, -76.991465","1,287"
14006,"42.633073, -79.021726","10,884"
10941,"41.491652, -74.344240","13,118"
14506,"43.002205, -77.505265","1,289"
13904,"42.128281, -75.801040","9,619"
12563,"41.503887, -73.572979","7,252"
13638,"44.019032, -75.759378",363
14750,"42.076991, -79.327748","4,623"
14559,"43.189993, -77.819055","15,919"
13838,"42.285099, -75.388127","4,956"
10931,"41.127584, -74.170333",881
12839,"43.354486, -73.553953","11,945"
13440,"43.217344, -75.459735","44,797"
12051,"42.344518, -73.828765","6,905"
14083,"42.677412, -78.440118",43
13616,"44.032051, -75.870748","2,341"
11770,"40.644757, -73.160803",190
13126,"43.438798, -76.457454","36,454"
11949,"40.860476, -72.793791","11,385"
12020,"43.001948, -73.868841","28,068"
12542,"41.613876, -74.015014","5,818"
12570,"41.613737, -73.670422","5,884"
11980,"40.831652, -72.923760","4,221"
14903,"42.131632, -76.871851","7,600"
13357,"42.970962, -75.081183","11,555"
11939,"41.135116, -72.339675",777
13021,"42.922181, -76.561464","41,704"
12118,"42.923768, -73.718177","11,767"
10918,"41.344192, -74.262177","11,492"
14020,"43.001476, -78.214875","23,055"
14059,"42.835012, -78.642549","8,937"
10963,"41.472208, -74.542990","4,660"
13421,"43.061915, -75.660092","13,192"
10578,"41.320276, -73.678991",661
10519,"41.342055, -73.661095",156
11948,"40.963769, -72.553554",903
14420,"43.213653, -77.937505","19,307"
10924,"41.381005, -74.352471","12,308"
13748,"42.042579, -75.822521","4,067"
11935,"41.021223, -72.486958","3,444"
13313,"42.878248, -75.267671",620
13029,"43.221243, -76.144434","5,684"
13350,"43.061013, -74.986356","9,878"
10506,"41.190889, -73.638479","5,537"
14760,"42.063776, -78.404837","20,510"
11765,"40.881909, -73.553311",732
11956,"40.976187, -72.466401",316
12733,"41.727393, -74.606582","1,608"
10518,"41.277016, -73.602519","1,552"
14468,"43.290542, -77.808702","16,526"
10990,"41.269726, -74.366389","19,315"
12821,"43.453350, -73.408531","3,219"
12547,"41.660687, -73.986567","2,350"
11937,"41.008427, -72.194482","13,289"
12477,"42.091943, -73.990006","20,199"
13104,"42.963030, -75.948439","14,414"
12419,"41.852184, -74.107250",315
13859,"42.372486, -75.245254",213
12086,"43.009005, -74.086332","1,554"
12577,"41.424982, -74.109743","1,614"
14513,"43.063469, -77.100046","14,858"
14716,"42.376294, -79.436818","3,641"
12196,"42.631786, -73.613946","2,841"
13323,"43.040114, -75.379336","11,772"
12561,"41.750978, -74.110614","17,435"
12528,"41.713907, -73.995071","12,770"
10986,"41.272382, -73.985586","1,739"
13601,"43.976818, -75.914247","36,990"
14203,"42.848139, -78.847987","1,009"
11959,"40.827003, -72.602522","1,015"
12515,"41.679444, -74.064879","1,068"
14063,"42.408411, -79.331104","14,690"
14052,"42.772537, -78.584397","18,248"
12582,"41.550169, -73.726637","4,550"
14519,"43.233972, -77.314631","11,020"
13732,"42.049447, -76.167535","8,380"
12569,"41.734557, -73.792840","8,842"
